metric,type,count,rate,avg,min,med,p90,p95,p99,max
vus,gauge,,,,0,,,,,19745
api_response_time_ms,trend,,,0,0,0,0,0,,0
http_reqs,counter,24643,728.682317198414,,,,,,,
data_sent,counter,0,0,,,,,,,
iteration_duration,trend,,,11479.617885851883,431.952,11528.5005,16846.04408000001,17932.096270000002,,23135.4613
http_req_sending,trend,,,0,0,0,0,0,,0
iterations,counter,21607,638.9091761435756,,,,,,,
http_req_receiving,trend,,,0,0,0,0,0,,0
http_req_tls_handshaking,trend,,,0,0,0,0,0,,0
data_received,counter,0,0,,,,,,,
http_req_connecting,trend,,,0,0,0,0,0,,0
api_error_rate,rate,,1,,,,,,,
http_req_blocked,trend,,,0,0,0,0,0,,0
checks,rate,,0,,,,,,,
vus_max,gauge,,,,997,,,,,20000
api_requests_total,counter,21716,642.1322566359923,,,,,,,
http_req_failed,rate,,1,,,,,,,
http_req_waiting,trend,,,0,0,0,0,0,,0
http_req_duration,trend,,,0,0,0,0,0,,0
