metric,type,count,rate,avg,min,med,p90,p95,p99,max
http_req_sending,trend,,,0.047939706153137945,0,0,0,0,,349.1287
http_req_duration,trend,,,366.80718578640415,0,0,0,0,,45945.4869
http_req_failed,rate,,0.9993632039281878,,,,,,,
data_received,counter,133421,1660.9342291382543,,,,,,,
iterations,counter,130340,1622.5794097322016,,,,,,,
http_req_connecting,trend,,,4.151661763848396,0,0,0,0,,4223.7202
http_req_receiving,trend,,,0.033216174620224005,0,0,0,0,,4076.4682
checks,rate,,1,,,,,,,
http_req_blocked,trend,,,4.208051365659045,0,0,0,0,,4223.7202
iteration_duration,trend,,,7785.360183869823,50.0016,8895.2564,14771.74077,15518.33658,,47413.7506
http_req_duration{expected_response:true},trend,,,21722.02507951807,5545.5213,21935.3505,25919.70056,26799.0255,,27322.752
http_reqs,counter,130340,1622.5794097322016,,,,,,,
vus_max,gauge,,,,1001,,,,,20000
http_req_waiting,trend,,,366.726029905632,0,0,0,0,,45943.4922
api_requests_total,counter,130340,1622.5794097322016,,,,,,,
api_error_rate,rate,,0,,,,,,,
vus,gauge,,,,0,,,,,20000
api_response_time_ms,trend,,,366.8071857864039,0,0,0,0,,45945.4869
http_req_tls_handshaking,trend,,,0,0,0,0,0,,0
data_sent,counter,113883,1417.7091523594622,,,,,,,
